CRASH TIME (HRS),DATE,DAY,LOCATION,PROBABLE CAUSE(S) OF RTC,ROUTE,VEHICLE CATEGORY,VEHICLE CLASS,Timestamp,month,X    ,Y
1145,2/18/2018,SUN,KM5-ARINKINKIN,SPV,OGB-OYO,MC,COMM,04/06/2018 17:00,2,4.2026801,8.0919504
1730,2/18/2018,SUN,KM12-ELEGA,WOV,OGB-OYO,BUS/   BUS,COMM/  COMM,05/01/2018 02:00,2,4.2221298,8.1129904
1830,2/20/2018,TUE,KM19-ABDUKA,SPV,OGB-ILN,P.UP,COMM,05/07/2018 06:00,2,4.15696,8.0612602
2330,2/20/2018,TUE,KM8-AROJE VILLAGE,SPV,OGB-ILN,TRK,PVT,5/28/2018 2:00,2,4.1875701,8.08286
1032,2/21/2018,WED,KM19.5-GBEDE,SPV,OGB-ILN,TRK,COMM,04/05/2018 00:00,2,4.25351,8.1530399
935,2/24/2018,SAT,KM2-CUSTOM AREA,"DGD,SPV",OYO-OGB,BUS,COMM,04/03/2018 23:00,2,4.2449002,8.1373901
1730,04/03/2018,SUN,KM20-ALAFARA VILL,DGD,OYO-OGB,TNK/   TRL,COMM/  COMM,6/14/2018 2:00,4,4.2667098,8.1788502
1617,10/03/2018,SAT,KM29-MOTUNDE,TBT,OYO-IBD,BUS,COMM,12/09/2018 09:00,10,4.2955699,8.23524
2000,10/03/2018,SAT,KM13-OLOO,WOV,OGB-OYO,P.UP,COMM,12/25/2018 8:00,10,4.2725301,8.1902103
201,12/03/2018,MON,KM9-WINNER CHURCH,NJR,OGB-ILN,TRL/      MC,COMM/   COMM,12/11/2018 09:00,12,4.2876501,8.2197599
1610,3/14/2018,WED,KM13.5-ODO OSUN,"DGD,SPV",OYO-OGB,TNK,COMM,5/20/2018 2:00,3,4.3031402,8.2488298
1136,3/18/2018,SUN,KM4-ILORA BRIDGE 2,"DGD,SPV",OYO-IBD,TNK/    TRL,COMM/   COMM,05/04/2018 08:00,3,4.3456302,8.2980003
1750,3/18/2018,SUN,KM7-DEPEER LIFE AREA,"SPV,DGD",OYO-IBD,BUS,COMM,5/29/2018 22:00,3,4.32446,8.2810402
314,3/21/2018,WED,KM29-IKPEBA VILLAGE,"NJR,SPV",OGB-OYO,BUS,PVT,04/03/2018 02:00,3,4.36659,8.3073902
1750,3/24/2018,SAT,KM7-DEPEER LIFE AREA,"SPV,TBT",OYO-IBD,SUV,PVT,06/04/2018 22:00,3,4.3903399,8.3151503
930,3/25/2018,SUN,KM16-IDODE VILLAGE,WOV,OYO-OGB,SUV/  BUS,PVT/  COMM,05/02/2018 18:00,3,4.4179902,8.3345404
2105,3/27/2018,TUE,KM4-SABO PARK,BFL,OGB-ILN,TRL,COMM,6/22/2018 17:00,3,4.4418101,8.3668699
1725,3/31/2018,SAT,KM18-IDI IGBA VILLAGE,"OBS,DGD",OYO-OGB,TRL/      BUS/    CAR,COMM/   COMM/  COMM,06/10/2018 21:00,3,4.42693,8.3488903
640,02/04/2018,MON,KM4-SAGBE JCTN,RTV,OYO-IBD,TNK/         TRL,COMM/   COMM,03/02/2018 16:00,2,4.4643698,8.3941097
535,03/04/2018,TUE,KM20-ONIGARI,"DGD,SPV",OYO-OGB,TRK,COMM,3/26/2018 7:00,3,4.4509401,8.3779001
1115,03/04/2018,TUE,KM6-AGRIC AREA,SPV,OGB-OYO,BUS/  MC,COMM/  PVT,4/19/2018 11:00,3,4.4755402,8.4076099
1255,07/04/2018,SAT,15KM 4RM IBD-KOLADAISI UNIVERSITY,WOV,OYO-IBD,BUS/     TNK,COMM/   COMM,8/25/2018 7:00,7,4.4939699,8.42939
1010,11/04/2018,WED,KM4.5-OANDO FUEL/S,SPV,OGB-ILN,TRL/   MC,COMM/   COMM,12/16/2018 2:00,11,4.5130601,8.4513903
1327,11/04/2018,WED,KM9-SEKONA,SPV,OGB-OYO,BUS,COMM,12/29/2018 7:00,11,4.5392699,8.4815702
1550,4/17/2018,TUE,KM15-KOLADAISI UNI. AREA,"SPV,TYY",OYO-IBD,BUS,COMM,6/20/2018 14:00,4,4.5499701,8.4904804
1750,4/18/2018,WED,KM4-OLOO POLICE POST ADETUNJI VIL.,WOV,OGB-OYO,CAR/ CAR,PVT/ PVT,6/29/2018 22:00,4,4.52175,8.4613895
1335,4/24/2018,TUE,KM12.2-ABA LAWYER VIL.,"WOV, OBS",OYO-OGB,TRK,COMM,6/18/2018 15:00,4,4.26091,8.1674995
428,4/26/2018,THU,KM13-TAKIE& ASANI VILLAGE,WOV,OGB-OYO,BUS/ TRL,COMM/ COMM,5/13/2018 20:00,4,4.0959601,7.9888701
2337,4/28/2018,SAT,KM6-BEST AHOYAYA GARAGE,WOT,OGB-OYO,MC/ TRL,COMM/ COMM,08/03/2018 09:00,4,4.1107998,8.0188398
1229,01/05/2018,TUE,KM13-OWEYO VILLAGE,WOV,OYO-OGB,TRL/ TRL,COMM/ COMM,2/25/2018 5:00,1,4.1217399,8.0416899
1235,01/05/2018,TUE,KM15-KOLADAISI UNI. AREA,"SPV, DGD",OYO-IBD,TRL,COMM,2/25/2018 11:00,1,4.0618901,7.6754498
735,02/05/2018,WED,KM4-TAKIE FRONT NTA STATION,SLV,OGB-ILN,TNK/ CAR,COMM/ PVT,03/07/2018 15:00,2,4.0816598,7.6938801
2035,02/05/2018,WED,KM7-DEEPER LIFE AREA,"SPV, DGD",OYO-IBD,CAR,COMM,4/30/2018 19:00,2,4.0893502,7.6750302
2124,04/05/2018,FRI,KM21-TAKIE ITAORAN,WOV,OGB-OYO,TNK,COMM,07/02/2018 12:00,4,4.0395002,7.6891799
1813,06/05/2018,SUN,KM6-TAKIE ILE-ABU,WOV,OGB-OYO,TRL/ MC,COMM/ COMM,8/19/2018 13:00,6,4.04285,7.7300801
2020,08/05/2018,TUE,KM4.3-IDI ORI,"WOV, SPV",OYO-OGB,TNK/ BUS/ BUS,COMM/ COMM/ COMM,10/28/2018 4:00,8,4.0171599,7.7707601
1545,09/05/2018,WED,KM6-NNPC OPP. IYANA APAPA,SPV,OYO-IBD,BUS,COMM,11/08/2018 09:00,9,3.99616,7.7880802
1020,5/18/2018,FRI,KM12-ITOKUN,WOV,OYO-OGB,BUS/ BUS/ TNK,COMM/ PVT/ COMM,6/29/2018 12:00,5,3.9655399,7.8154898
2208,5/19/2018,SAT,KM11-ELEGA VILLAGE,SPV,OGB-OYO,TRL,COMM,8/19/2018 0:00,5,3.9449,7.82936
1750,5/20/2018,SUN,KM19-ADETUNJI VILLAGE,SLV,OGB-OYO,TRL/ CAR,COMM/ PVT,7/31/2018 22:00,5,4.0071902,7.88412
1711,5/23/2018,WED,KM1-NTA JCTN AWE,DGD,OYO-OGB,TNK/      P.UP,COMM/  PVT,08/02/2018 07:00,5,4.5286298,8.4693203
730,5/24/2018,THU,KM11-JOBELE,"MDV, SPV",OYO-IBD,TRK/  CAR,COMM/  PVT,6/23/2018 10:00,5,4.4854398,8.41957
910,5/24/2018,THU,"KM9-WAS MKT, BEHIND WINNER",SPV,OGB-ILN,TRK/     TRK,COMM/  COMM,6/30/2018 22:00,5,4.3762102,8.3101501
1645,5/25/2018,FRI,KM20-IJWAYA VILLAGE,"BRD,SPV",OYO-OGB,TRL,COMM,08/01/2018 13:00,5,4.33289,8.2877903
1655,5/29/2018,TUE,KM10-JOBELE,"TBT, SPV",OYO-IBD,BUS,COMM,08/05/2018 23:00,5,4.3071599,8.2560501
131,07/06/2018,THU,KM1-AJEGUNLE MKT,DGD,OYO-OGB,TRL,COMM,07/11/2018 11:00,7,4.2955699,8.23524
1010,10/06/2018,SUN,KM1-TAKIE RBT,WOV,OGB-ILN,TRL/      MC,COMM/      PVT,11/17/2018 2:00,10,4.2876501,8.2197599
1605,10/06/2018,SUN,KM10-IROKO AREA,"SPV,TBT",OYO-IBD,CAR,PVT,12/11/2018 21:00,10,4.2725301,8.1902103
1910,10/06/2018,SUN,KM1.5-LOW COST HSING AREA,"WOV,SPV",OYO-OGB,TRK/      TNK,COMM/   COMM,12/24/2018 14:00,10,4.26091,8.1674995
